id,pop,lat,lon,INSTCODE,ACCENUMB,acc_name,collection_site,province,elevation,Plate,Genotype
ZM9091,Zambia,-14.54362,30.92558,ZMB048,ZM9091,3 matepo,Nyimba,Eastern province,853,DSp22-7146_1,ZM9091
ZM9065,Zambia,-14.20404,31.20842,ZMB048,ZM9065,NA,Petauke,Eastern province,1030,DSp22-7146_1,ZM9065
ZM9061,Zambia,-14.16995,31.25181,ZMB048,ZM9061,NA,Petauke,Eastern province,894,DSp22-7146_2,ZM9061
ZM9147,Zambia,-12.42228,26.21627,ZMB048,ZM9147,Katoto,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9147
ZM9054,Zambia,-14.18177,31.23963,ZMB048,ZM9054,NA,Petauke,Eastern province,943,DSp22-7146_2,ZM9054
ZM9070,Zambia,-13.95709,32.17732,ZMB048,ZM9070,Solwezi,Katete,Eastern province,1097,DSp22-7146_2,ZM9070
ZM9089,Zambia,-14.5425,30.9292,ZMB048,ZM9089,3 matepo,Nyimba,Eastern province,863,DSp22-7146_2,ZM9089
ZM9044,Zambia,-14.21088,31.20006,ZMB048,ZM9044,NA,Petauke,Eastern province,941,DSp22-7146_2,ZM9044
ZM9128,Zambia,-12.27233,26.52803,ZMB048,ZM9128,Kapila,Solwezi,North-western province,1326,DSp22-7146_2,ZM9128
ZM9144,Zambia,-12.42228,26.21627,ZMB048,ZM9144,Lukulu,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9144
ZM9117,Zambia,-12.2059,26.40514,ZMB048,ZM9117,Chingovwa,Solwezi,North-western province,1338,DSp22-7146_2,ZM9117
ZM9131,Zambia,-12.22884,26.51317,ZMB048,ZM9131,Matembele,Solwezi,North-western province,1339,DSp22-7146_2,ZM9131
ZM9038,Zambia,-14.21088,31.20006,ZMB048,ZM9038,NA,Petauke,Eastern province,941,DSp22-7146_2,ZM9038
ZM9109,Zambia,-12.2325,26.40339,ZMB048,ZM9109,NA,Solwezi,North-western province,1320,DSp22-7146_2,ZM9109
ZM9146,Zambia,-12.42228,26.21627,ZMB048,ZM9146,Carrot 1,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9146
ZM9135,Zambia,-12.42228,26.21627,ZMB048,ZM9135,K5666/3/2,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9135
ZM9047,Zambia,-14.20884,31.20936,ZMB048,ZM9047,NA,Petauke,Eastern province,1027,DSp22-7146_2,ZM9047
ZM9041,Zambia,-14.21088,31.20006,ZMB048,ZM9041,NA,Petauke,Eastern province,941,DSp22-7146_2,ZM9041
ZM9088,Zambia,-14.5425,30.9292,ZMB048,ZM9088,NA,Nyimba,Eastern province,863,DSp22-7146_2,ZM9088
ZM9059,Zambia,-14.16995,31.25181,ZMB048,ZM9059,NA,Petauke,Eastern province,894,DSp22-7146_2,ZM9059
ZM9121,Zambia,-12.30646,26.52443,ZMB048,ZM9121,Kyapatala,Solwezi,North-western province,1278,DSp22-7146_2,ZM9121
ZM9056,Zambia,-14.16995,31.25181,ZMB048,ZM9056,NA,Petauke,Eastern province,894,DSp22-7146_2,ZM9056
ZM9138,Zambia,-12.42228,26.21627,ZMB048,ZM9138,Orange Chingovwa,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9138
ZM9060,Zambia,-14.16995,31.25181,ZMB048,ZM9060,NA,Petauke,Eastern province,894,DSp22-7146_2,ZM9060
ZM9043,Zambia,-14.21088,31.20006,ZMB048,ZM9043,NA,Petauke,Eastern province,941,DSp22-7146_2,ZM9043
ZM9066,Zambia,-14.20404,31.20842,ZMB048,ZM9066,NA,Petauke,Eastern province,1030,DSp22-7146_2,ZM9066
ZM9079,Zambia,-13.93613,32.23444,ZMB048,ZM9079,Ze blue,Chipata,Eastern province,1040,DSp22-7146_2,ZM9079
ZM9130,Zambia,-12.2708,26.5666,ZMB048,ZM9130,Chingovwa,Solwezi,North-western province,1330,DSp22-7146_2,ZM9130
ZM9156,Zambia,-12.42228,26.21627,ZMB048,ZM9156,Kanga,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9156
ZM9153,Zambia,-12.42228,26.21627,ZMB048,ZM9153,Mulungushi,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9153
ZM9134,Zambia,-12.22885,26.51317,ZMB048,ZM9134,Kashinde,Solwezi,North-western province,1339,DSp22-7146_2,ZM9134
ZM9151,Zambia,-12.42228,26.21627,ZMB048,ZM9151,K55/1/3,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9151
ZM9036,Zambia,-14.24338,31.32454,ZMB048,ZM9036,Carrot,Petauke,Eastern province,995,DSp22-7146_2,ZM9036
ZM9098,Zambia,-12.2048,26.40683,ZMB048,ZM9098,Matembele,Solwezi,North-western province,1336,DSp22-7146_2,ZM9098
ZM9110,Zambia,-12.2325,26.40339,ZMB048,ZM9110,NA,Solwezi,North-western province,1320,DSp22-7146_2,ZM9110
ZM9162,Zambia,-12.42228,26.21627,ZMB048,ZM9162,NA,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9162
